#{"t_start": 1748618611.923424, "env_id": null}
r,l,t
29.554784,50,2.18587
33.296016,50,2.21579
30.74277,50,2.245711
44.903249,50,2.274633
8.342649,50,2.30312
36.747231,50,2.332043
10.838711,50,2.360966
23.608148,50,2.389897
29.049345,50,2.417822
28.542072,50,2.447742
26.09591,50,2.475667
17.425082,50,2.504105
34.577316,50,2.53203
26.14413,50,2.561951
10.819595,50,2.590391
22.161401,50,2.637264
25.734105,50,2.66519
21.324164,50,2.700103
17.524561,50,2.740026
33.827599,50,2.769407
16.033054,50,2.79833
24.564906,50,2.826252
35.562157,50,2.85418
18.77883,50,2.883129
27.631081,50,2.912066
24.325438,50,2.941004
22.085205,50,2.977939
46.799129,50,3.005863
38.18626,50,3.03381
30.376018,50,3.062757
25.340338,50,3.094872
23.885028,50,3.123796
29.303649,50,3.152718
30.538772,50,3.182161
7.398164,50,3.215092
9.700057,50,3.245027
15.181186,50,3.279878
47.276009,50,3.312861
49.149239,50,3.340811
36.976784,50,3.369761
17.562032,50,4.521821
42.915977,50,4.556037
15.122364,50,4.587793
18.30668,50,4.625685
21.199123,50,4.667752
33.958987,50,4.711624
24.535912,50,4.74155
34.544656,50,4.770601
51.689317,50,4.818508
27.585155,50,4.85144
38.560094,50,4.880388
51.095933,50,4.908537
39.236541,50,4.938473
42.314968,50,4.972036
20.075216,50,5.001193
43.360116,50,5.030116
28.701568,50,5.060036
23.422612,50,5.088961
22.289019,50,5.118881
30.78864,50,5.147842
33.384814,50,5.188721
55.356269,50,5.222636
37.924754,50,5.252562
5.207166,50,5.281495
26.495033,50,5.310809
38.133998,50,5.338753
27.015906,50,5.368114
48.629198,50,5.396029
29.305687,50,5.425152
24.01689,50,5.454072
30.463425,50,5.483856
48.849219,50,5.511877
24.6922,50,5.540087
27.353147,50,5.569023
46.742923,50,5.596961
45.354419,50,5.625912
18.26789,50,5.654259
42.153591,50,5.683182
32.552956,50,5.713102
34.985432,50,5.741035
25.371269,50,5.769858
51.270122,50,6.917846
36.3205,50,6.957739
46.438807,50,6.998629
0.627998,50,7.032542
26.839593,50,7.068447
34.209231,50,7.105349
27.485104,50,7.136266
37.644337,50,7.165189
20.415329,50,7.194114
23.347464,50,7.225032
13.902637,50,7.253418
24.795362,50,7.281343
33.632984,50,7.310266
41.315644,50,7.338191
38.670688,50,7.367115
53.385055,50,7.395039
34.417104,50,7.424609
44.442889,50,7.451536
28.835506,50,7.482453
23.377243,50,7.675937
35.383921,50,7.703861
26.608141,50,7.734778
40.701322,50,7.763701
43.19504,50,7.791628
23.184826,50,7.820558
14.639008,50,7.848484
30.629326,50,7.877407
64.49339,50,7.905331
31.340504,50,7.934792
39.544888,50,7.962738
51.055136,50,7.994674
28.657517,50,8.022894
26.670959,50,8.051826
32.710852,50,8.080035
36.700463,50,8.108886
41.429186,50,8.137845
42.818873,50,8.166765
34.490387,50,8.195114
58.745954,50,8.224052
61.837946,50,8.253986
20.959532,50,8.282844
50.643794,50,9.506686
36.664474,50,9.540614
44.465579,50,9.571549
-2.653518,50,9.60547
27.310185,50,9.63728
23.639408,50,9.676173
32.724819,50,9.712083
12.749592,50,9.742061
33.780202,50,9.773052
45.621377,50,9.802068
46.64238,50,9.833043
63.988432,50,9.863089
31.585732,50,9.893106
40.25239,50,9.922099
30.990086,50,9.969119
44.573601,50,9.998113
17.389287,50,10.02708
28.239791,50,10.055073
51.786362,50,10.084099
42.227061,50,10.114102
39.032368,50,10.143113
29.707718,50,10.172111
19.302817,50,10.201173
29.087042,50,10.229168
11.200884,50,10.259099
18.330758,50,10.289103
47.797884,50,10.31911
29.869654,50,10.349145
3.063142,50,10.379177
21.540569,50,10.409195
26.554613,50,10.43712
60.183128,50,10.466115
58.276162,50,10.496069
32.918956,50,10.525095
26.69104,50,10.55418
28.303607,50,10.584116
46.079019,50,10.61415
17.771809,50,10.644154
54.943845,50,10.673179
12.716124,50,10.701104
4.069497,50,10.730101
23.698847,50,11.871085
50.200334,50,11.912081
31.88581,50,11.949592
23.980377,50,11.99049
65.945811,50,12.024399
55.316507,50,12.066801
34.905308,50,12.096718
57.632701,50,12.127635
28.432384,50,12.157558
53.846534,50,12.187476
48.172536,50,12.218393
60.844075,50,12.250307
54.623353,50,12.280229
44.45173,50,12.309153
43.171589,50,12.339073
59.042586,50,12.36917
29.752096,50,12.398091
46.116229,50,12.428021
27.026269,50,12.457491
18.956992,50,12.486413
-5.756572,50,12.52132
33.485418,50,12.55124
41.815665,50,12.582158
34.297322,50,12.611088
39.358661,50,12.642004
51.12475,50,12.670927
20.745247,50,12.700847
61.802266,50,12.730767
33.638607,50,12.779636
21.159688,50,12.808558
56.548944,50,12.838479
58.930837,50,12.867416
32.719619,50,12.896337
27.058519,50,12.924262
45.858223,50,12.953185
25.977158,50,12.980622
60.891363,50,13.010544
54.043049,50,13.209066
48.289931,50,13.240982
30.190724,50,13.272896
37.44728,50,13.301819
34.521319,50,14.49973
32.439317,50,14.533643
40.207372,50,14.574534
45.88249,50,14.610442
51.382467,50,14.646356
52.144467,50,14.679272
55.929485,50,14.711192
53.105011,50,14.741122
58.833715,50,14.774048
45.36226,50,14.803086
40.037724,50,14.833081
53.730938,50,14.863096
45.956267,50,14.893086
39.727914,50,14.922104
57.800374,50,14.952168
50.296457,50,14.981112
32.490969,50,15.012127
40.826954,50,15.044125
36.069779,50,15.074104
48.969452,50,15.104123
26.335936,50,15.134344
18.411982,50,15.164123
30.451497,50,15.196091
40.127146,50,15.226114
47.52846,50,15.255136
53.632356,50,15.286061
38.139367,50,15.317257
26.215113,50,15.347174
48.248612,50,15.37713
27.770344,50,15.411135
13.695846,50,15.440161
39.071884,50,15.469179
63.90966,50,15.499122
39.262288,50,15.532134
47.661165,50,15.56215
42.703458,50,15.592085
56.8872,50,15.621053
51.916809,50,15.650097
18.37344,50,15.679237
53.835267,50,15.708175
48.559918,50,15.737119
